 Sonnet Data File
 From: em Version : 14.52
 From Project: matlab_proj
 Data is De-embedded 
 Data File Written: 11/15/2018 14:45:37
Project Date: 11/15/2018 14:45:8
R 50.00000
Frequency (GHz),RE[S11],IM[S11],RE[S12],IM[S12],RE[S21],IM[S21],RE[S22],IM[S22]
3.450000000000000,5.5047610701e-5,0.0060873640860,0.9999405922202,-9.041783908e-3,0.9999405922202,-9.041783908e-3,5.5049728389e-5,0.0060873640668
3.475000000000000,5.5848148031e-5,0.0061314690283,0.9999397281500,-9.107299025e-3,0.9999397281500,-9.107299025e-3,5.5850296461e-5,0.0061314690087
3.500000000000000,5.6654463059e-5,0.0061755738088,0.9999388578424,-9.172814004e-3,0.9999388578424,-9.172814004e-3,5.6656642452e-5,0.0061755737887
3.525000000000000,5.7466555773e-5,0.0062196784268,0.9999379812973,-9.238328844e-3,0.9999379812973,-9.238328844e-3,5.7468766348e-5,0.0062196784063
3.550000000000000,5.8284426161e-5,0.0062637828818,0.9999370985149,-9.303843544e-3,0.9999370985149,-9.303843544e-3,5.8286668136e-5,0.0062637828609
3.575000000000000,5.9108074209e-5,0.0063078871733,0.9999362094951,-9.369358103e-3,0.9999362094951,-9.369358103e-3,5.9110347805e-5,0.0063078871520
3.600000000000000,5.9937499906e-5,0.0063519913007,0.9999353142379,-9.434872521e-3,0.9999353142379,-9.434872521e-3,5.9939805341e-5,0.0063519912789
3.625000000000000,6.0772703237e-5,0.0063960952633,0.9999344127435,-9.500386797e-3,0.9999344127435,-9.500386797e-3,6.0775040731e-5,0.0063960952411
3.650000000000000,6.1613684189e-5,0.0064401990607,0.9999335050118,-9.565900929e-3,0.9999335050118,-9.565900929e-3,6.1616053961e-5,0.0064401990380
3.675000000000000,6.2460442749e-5,0.0064843026922,0.9999325910428,-9.631414918e-3,0.9999325910428,-9.631414918e-3,6.2462845019e-5,0.0064843026690
3.700000000000000,6.3312978904e-5,0.0065284061573,0.9999316708366,-9.696928762e-3,0.9999316708366,-9.696928762e-3,6.3315413891e-5,0.0065284061337
3.725000000000000,6.4171292640e-5,0.0065725094555,0.9999307443932,-9.762442460e-3,0.9999307443932,-9.762442460e-3,6.4173760563e-5,0.0065725094314
3.750000000000000,6.5035383942e-5,0.0066166125861,0.9999298117127,-9.827956012e-3,0.9999298117127,-9.827956012e-3,6.5037885021e-5,0.0066166125615
3.775000000000000,6.5905252798e-5,0.0066607155486,0.9999288727950,-9.893469417e-3,0.9999288727950,-9.893469417e-3,6.5907787251e-5,0.0066607155235
3.800000000000000,6.6780899192e-5,0.0067048183425,0.9999279276403,-9.958982673e-3,0.9999279276403,-9.958982673e-3,6.6783467240e-5,0.0067048183169
3.825000000000000,6.7662323111e-5,0.0067489209671,0.9999269762484,-0.010024495781,0.9999269762484,-0.010024495781,6.7664924972e-5,0.0067489209410
3.850000000000000,6.8549524540e-5,0.0067930234219,0.9999260186195,-0.010090008739,0.9999260186195,-0.010090008739,6.8552160433e-5,0.0067930233953
3.875000000000000,6.9442503464e-5,0.0068371257063,0.9999250547536,-0.010155521547,0.9999250547536,-0.010155521547,6.9445173610e-5,0.0068371256791
3.900000000000000,7.0341259870e-5,0.0068812278197,0.9999240846508,-0.010221034203,0.9999240846508,-0.010221034203,7.0343964486e-5,0.0068812277921
3.925000000000000,7.1245793740e-5,0.0069253297617,0.9999231083109,-0.010286546707,0.9999231083109,-0.010286546707,7.1248533048e-5,0.0069253297335
3.950000000000000,7.2156105062e-5,0.0069694315316,0.9999221257342,-0.010352059058,0.9999221257342,-0.010352059058,7.2158879279e-5,0.0069694315028
3.975000000000000,7.3072193820e-5,0.0070135331288,0.9999211369206,-0.010417571255,0.9999211369206,-0.010417571255,7.3075003166e-5,0.0070135330995
4.000000000000000,7.3994059997e-5,0.0070576345528,0.9999201418701,-0.010483083297,0.9999201418701,-0.010483083297,7.3996904692e-5,0.0070576345229
4.025000000000000,7.4921703580e-5,0.0071017358030,0.9999191405828,-0.010548595184,0.9999191405828,-0.010548595184,7.4924583842e-5,0.0071017357726
4.050000000000000,7.5855124551e-5,0.0071458368788,0.9999181330587,-0.010614106915,0.9999181330587,-0.010614106915,7.5858040601e-5,0.0071458368478
4.075000000000000,7.6794322896e-5,0.0071899377797,0.9999171192978,-0.010679618488,0.9999171192978,-0.010679618488,7.6797274953e-5,0.0071899377482
4.100000000000001,7.7739298599e-5,0.0072340385052,0.9999160993002,-0.010745129903,0.9999160993002,-0.010745129903,7.7742286881e-5,0.0072340384730
4.125000000000000,7.8690051643e-5,0.0072781390546,0.9999150730659,-0.010810641160,0.9999150730659,-0.010810641160,7.8693076370e-5,0.0072781390218
4.150000000000000,7.9646582012e-5,0.0073222394273,0.9999140405949,-0.010876152257,0.9999140405949,-0.010876152257,7.9649643403e-5,0.0073222393940
4.175000000000000,8.0608889690e-5,0.0073663396229,0.9999130018873,-0.010941663193,0.9999130018873,-0.010941663193,8.0611987965e-5,0.0073663395889
4.200000000000000,8.1576974660e-5,0.0074104396407,0.9999119569431,-0.011007173968,0.9999119569431,-0.011007173968,8.1580110038e-5,0.0074104396061
4.225000000000001,8.2550836906e-5,0.0074545394801,0.9999109057623,-0.011072684581,0.9999109057623,-0.011072684581,8.2554009606e-5,0.0074545394450
4.250000000000000,8.3530476410e-5,0.0074986391407,0.9999098483450,-0.011138195031,0.9999098483450,-0.011138195031,8.3533686652e-5,0.0074986391049
4.275000000000000,8.4515893157e-5,0.0075427386218,0.9999087846911,-0.011203705318,0.9999087846911,-0.011203705318,8.4519141159e-5,0.0075427385854
4.300000000000001,8.5507087127e-5,0.0075868379229,0.9999077148008,-0.011269215439,0.9999077148008,-0.011269215439,8.5510373110e-5,0.0075868378858
4.325000000000000,8.6504058306e-5,0.0076309370433,0.9999066386741,-0.011334725396,0.9999066386741,-0.011334725396,8.6507382488e-5,0.0076309370056
4.350000000000001,8.7506806674e-5,0.0076750359826,0.9999055563109,-0.011400235185,0.9999055563109,-0.011400235185,8.7510169275e-5,0.0076750359443
4.375000000000000,8.8515332215e-5,0.0077191347402,0.9999044677114,-0.011465744808,0.9999044677114,-0.011465744808,8.8518733454e-5,0.0077191347012
4.400000000000000,8.9529634911e-5,0.0077632333154,0.9999033728755,-0.011531254263,0.9999033728755,-0.011531254263,8.9533075007e-5,0.0077632332757
4.425000000000001,9.0549714743e-5,0.0078073317078,0.9999022718033,-0.011596763550,0.9999022718033,-0.011596763550,9.0553193916e-5,0.0078073316675
4.450000000000000,9.1575571694e-5,0.0078514299167,0.9999011644948,-0.011662272666,0.9999011644948,-0.011662272666,9.1579090163e-5,0.0078514298757
4.475000000000001,9.2607205746e-5,0.0078955279417,0.9999000509501,-0.011727781612,0.9999000509501,-0.011727781612,9.2610763730e-5,0.0078955278999
4.500000000000000,9.3644616880e-5,0.0079396257820,0.9998989311692,-0.011793290387,0.9998989311692,-0.011793290387,9.3648214599e-5,0.0079396257396
4.525000000000000,9.4687805078e-5,0.0079837234372,0.9998978051521,-0.011858798990,0.9998978051521,-0.011858798990,9.4691442751e-5,0.0079837233941
4.550000000000001,9.5736770322e-5,0.0080278209067,0.9998966728989,-0.011924307420,0.9998966728989,-0.011924307420,9.5740448168e-5,0.0080278208629
4.575000000000000,9.6791512592e-5,0.0080719181900,0.9998955344095,-0.011989815677,0.9998955344095,-0.011989815677,9.6795230830e-5,0.0080719181454
4.600000000000001,9.7852031869e-5,0.0081160152863,0.9998943896841,-0.012055323759,0.9998943896841,-0.012055323759,9.7855790719e-5,0.0081160152410
4.625000000000000,9.8918328135e-5,0.0081601121953,0.9998932387227,-0.012120831665,0.9998932387227,-0.012120831665,9.8922127816e-5,0.0081601121492
4.650000000000000,9.9990401371e-5,0.0082042089162,0.9998920815252,-0.012186339395,0.9998920815252,-0.012186339395,9.9994242102e-5,0.0082042088694
4.675000000000001,1.0106825156e-4,0.0082483054487,0.9998909180918,-0.012251846949,0.9998909180918,-0.012251846949,1.0107213356e-4,0.0082483054011
4.700000000000000,1.0215187867e-4,0.0082924017920,0.9998897484224,-0.012317354324,0.9998897484224,-0.012317354324,1.0215580216e-4,0.0082924017436
4.725000000000001,1.0324128270e-4,0.0083364979456,0.9998885725172,-0.012382861521,0.9998885725172,-0.012382861521,1.0324524790e-4,0.0083364978965
4.750000000000000,1.0433646362e-4,0.0083805939089,0.9998873903761,-0.012448368538,0.9998873903761,-0.012448368538,1.0434047074e-4,0.0083805938590
4.775000000000000,1.0543742141e-4,0.0084246896815,0.9998862019991,-0.012513875375,0.9998862019991,-0.012513875375,1.0544147068e-4,0.0084246896308
4.800000000000001,1.0654415605e-4,0.0084687852626,0.9998850073864,-0.012579382030,0.9998850073864,-0.012579382030,1.0654824768e-4,0.0084687852111
4.825000000000000,1.0765666752e-4,0.0085128806518,0.9998838065379,-0.012644888504,0.9998838065379,-0.012644888504,1.0766080174e-4,0.0085128805995
4.850000000000001,1.0877495580e-4,0.0085569758485,0.9998825994536,-0.012710394795,0.9998825994536,-0.012710394795,1.0877913283e-4,0.0085569757954
4.875000000000000,1.0989902087e-4,0.0086010708520,0.9998813861337,-0.012775900902,0.9998813861337,-0.012775900902,1.0990324092e-4,0.0086010707981
4.900000000000000,1.1102886271e-4,0.0086451656619,0.9998801665782,-0.012841406825,0.9998801665782,-0.012841406825,1.1103312601e-4,0.0086451656072
4.925000000000001,1.1216448130e-4,0.0086892602776,0.9998789407870,-0.012906912563,0.9998789407870,-0.012906912563,1.1216878806e-4,0.0086892602220
4.950000000000000,1.1330587662e-4,0.0087333546985,0.9998777087603,-0.012972418114,0.9998777087603,-0.012972418114,1.1331022705e-4,0.0087333546421
4.975000000000001,1.1445304864e-4,0.0087774489240,0.9998764704980,-0.013037923479,0.9998764704980,-0.013037923479,1.1445744298e-4,0.0087774488667
5.000000000000000,1.1560599735e-4,0.0088215429536,0.9998752260002,-0.013103428655,0.9998752260002,-0.013103428655,1.1561043581e-4,0.0088215428954
5.025000000000000,1.1676472272e-4,0.0088656367867,0.9998739752669,-0.013168933644,0.9998739752669,-0.013168933644,1.1676920552e-4,0.0088656367276
5.050000000000001,1.1792922473e-4,0.0089097304227,0.9998727182982,-0.013234438442,0.9998727182982,-0.013234438442,1.1793375209e-4,0.0089097303628
5.075000000000000,1.1909950336e-4,0.0089538238611,0.9998714550941,-0.013299943051,0.9998714550941,-0.013299943051,1.1910407550e-4,0.0089538238003
5.100000000000001,1.2027555859e-4,0.0089979171013,0.9998701856547,-0.013365447468,0.9998701856547,-0.013365447468,1.2028017573e-4,0.0089979170395
5.125000000000000,1.2145739040e-4,0.0090420101427,0.9998689099799,-0.013430951693,0.9998689099799,-0.013430951693,1.2146205275e-4,0.0090420100800
5.150000000000000,1.2264499876e-4,0.0090861029847,0.9998676280699,-0.013496455726,0.9998676280699,-0.013496455726,1.2264970655e-4,0.0090861029212
5.175000000000001,1.2383838365e-4,0.0091301956269,0.9998663399246,-0.013561959565,0.9998663399246,-0.013561959565,1.2384313709e-4,0.0091301955624
5.200000000000000,1.2503754506e-4,0.0091742880686,0.9998650455441,-0.013627463210,0.9998650455441,-0.013627463210,1.2504234437e-4,0.0091742880032
5.225000000000001,1.2624248295e-4,0.0092183803092,0.9998637449285,-0.013692966659,0.9998637449285,-0.013692966659,1.2624732835e-4,0.0092183802429
5.250000000000000,1.2745319730e-4,0.0092624723483,0.9998624380777,-0.013758469913,0.9998624380777,-0.013758469913,1.2745808902e-4,0.0092624722810
5.275000000000000,1.2866968809e-4,0.0093065641851,0.9998611249918,-0.013823972970,0.9998611249918,-0.013823972970,1.2867462635e-4,0.0093065641169
5.300000000000001,1.2989195530e-4,0.0093506558193,0.9998598056708,-0.013889475828,0.9998598056708,-0.013889475828,1.2989694031e-4,0.0093506557500
5.325000000000000,1.3111999891e-4,0.0093947472501,0.9998584801149,-0.013954978489,0.9998584801149,-0.013954978489,1.3112503089e-4,0.0093947471799
5.350000000000001,1.3235381889e-4,0.0094388384770,0.9998571483239,-0.014020480950,0.9998571483239,-0.014020480950,1.3235889805e-4,0.0094388384058
5.375000000000000,1.3359341521e-4,0.0094829294995,0.9998558102981,-0.014085983211,0.9998558102981,-0.014085983211,1.3359854179e-4,0.0094829294273
5.400000000000000,1.3483878786e-4,0.0095270203169,0.9998544660373,-0.014151485271,0.9998544660373,-0.014151485271,1.3484396207e-4,0.0095270202437
5.425000000000001,1.3608993681e-4,0.0095711109288,0.9998531155417,-0.014216987129,0.9998531155417,-0.014216987129,1.3609515886e-4,0.0095711108546
5.450000000000000,1.3734686204e-4,0.0096152013346,0.9998517588112,-0.014282488784,0.9998517588112,-0.014282488784,1.3735213216e-4,0.0096152012593
5.475000000000001,1.3860956352e-4,0.0096592915336,0.9998503958460,-0.014347990236,0.9998503958460,-0.014347990236,1.3861488192e-4,0.0096592914573
5.500000000000000,1.3987804123e-4,0.0097033815253,0.9998490266460,-0.014413491483,0.9998490266460,-0.014413491483,1.3988340813e-4,0.0097033814480
5.525000000000000,1.4115229514e-4,0.0097474713092,0.9998476512113,-0.014478992526,0.9998476512113,-0.014478992526,1.4115771077e-4,0.0097474712308
5.550000000000001,1.4243232522e-4,0.0097915608847,0.9998462695419,-0.014544493362,0.9998462695419,-0.014544493362,1.4243778980e-4,0.0097915608052
5.575000000000000,1.4371813147e-4,0.0098356502511,0.9998448816380,-0.014609993992,0.9998448816380,-0.014609993992,1.4372364521e-4,0.0098356501706
5.600000000000001,1.4500971384e-4,0.0098797394080,0.9998434874994,-0.014675494414,0.9998434874994,-0.014675494414,1.4501527696e-4,0.0098797393264
5.625000000000000,1.4630707232e-4,0.0099238283548,0.9998420871263,-0.014740994627,0.9998420871263,-0.014740994627,1.4631268504e-4,0.0099238282721
5.650000000000000,1.4761020687e-4,0.0099679170909,0.9998406805187,-0.014806494632,0.9998406805187,-0.014806494632,1.4761586942e-4,0.0099679170071
5.675000000000001,1.4891911748e-4,0.0100120056158,0.9998392676766,-0.014871994426,0.9998392676766,-0.014871994426,1.4892483007e-4,0.0100120055308
5.700000000000000,1.5023380412e-4,0.0100560939288,0.9998378486001,-0.014937494009,0.9998378486001,-0.014937494009,1.5023956697e-4,0.0100560938427
5.725000000000001,1.5155426677e-4,0.0101001820294,0.9998364232893,-0.015002993381,0.9998364232893,-0.015002993381,1.5156008009e-4,0.0101001819422
5.750000000000000,1.5288050538e-4,0.0101442699171,0.9998349917440,-0.015068492539,0.9998349917440,-0.015068492539,1.5288636940e-4,0.0101442698288
5.775000000000000,1.5421251995e-4,0.0101883575913,0.9998335539645,-0.015133991485,0.9998335539645,-0.015133991485,1.5421843489e-4,0.0101883575017
5.800000000000001,1.5555031045e-4,0.0102324450513,0.9998321099508,-0.015199490216,0.9998321099508,-0.015199490216,1.5555627652e-4,0.0102324449606
5.825000000000000,1.5689387685e-4,0.0102765322967,0.9998306597028,-0.015264988732,0.9998306597028,-0.015264988732,1.5689989427e-4,0.0102765322048
5.850000000000001,1.5824321911e-4,0.0103206193268,0.9998292032206,-0.015330487033,0.9998292032206,-0.015330487033,1.5824928812e-4,0.0103206192338
5.875000000000000,1.5959833723e-4,0.0103647061412,0.9998277405043,-0.015395985116,0.9998277405043,-0.015395985116,1.5960445802e-4,0.0103647060470
5.900000000000000,1.6095923116e-4,0.0104087927392,0.9998262715539,-0.015461482982,0.9998262715539,-0.015461482982,1.6096540397e-4,0.0104087926437
5.925000000000001,1.6232590089e-4,0.0104528791202,0.9998247963694,-0.015526980630,0.9998247963694,-0.015526980630,1.6233212593e-4,0.0104528790236
5.950000000000000,1.6369834638e-4,0.0104969652838,0.9998233149509,-0.015592478058,0.9998233149509,-0.015592478058,1.6370462387e-4,0.0104969651859
5.975000000000001,1.6507656761e-4,0.0105410512293,0.9998218272985,-0.015657975267,0.9998218272985,-0.015657975267,1.6508289777e-4,0.0105410511302
6.000000000000000,1.6646056455e-4,0.0105851369561,0.9998203334122,-0.015723472254,0.9998203334122,-0.015723472254,1.6646694760e-4,0.0105851368558
6.025000000000000,1.6785033718e-4,0.0106292224638,0.9998188332919,-0.015788969020,0.9998188332919,-0.015788969020,1.6785677334e-4,0.0106292223622
6.050000000000001,1.6924588546e-4,0.0106733077517,0.9998173269378,-0.015854465564,0.9998173269378,-0.015854465564,1.6925237495e-4,0.0106733076488
6.075000000000000,1.7064720937e-4,0.0107173928192,0.9998158143499,-0.015919961884,0.9998158143499,-0.015919961884,1.7065375241e-4,0.0107173927151
6.100000000000001,1.7205430888e-4,0.0107614776659,0.9998142955283,-0.015985457980,0.9998142955283,-0.015985457980,1.7206090569e-4,0.0107614775604
6.125000000000000,1.7346718397e-4,0.0108055622910,0.9998127704730,-0.016050953851,0.9998127704730,-0.016050953851,1.7347383476e-4,0.0108055621843
6.150000000000000,1.7488583460e-4,0.0108496466942,0.9998112391839,-0.016116449496,0.9998112391839,-0.016116449496,1.7489253960e-4,0.0108496465861
6.175000000000001,1.7631026075e-4,0.0108937308747,0.9998097016613,-0.016181944914,0.9998097016613,-0.016181944914,1.7631702017e-4,0.0108937307653
6.200000000000000,1.7774046239e-4,0.0109378148320,0.9998081579051,-0.016247440105,0.9998081579051,-0.016247440105,1.7774727645e-4,0.0109378147213
6.225000000000001,1.7917643948e-4,0.0109818985656,0.9998066079153,-0.016312935068,0.9998066079153,-0.016312935068,1.7918330841e-4,0.0109818984536
6.250000000000000,1.8061819201e-4,0.0110259820749,0.9998050516920,-0.016378429802,0.9998050516920,-0.016378429802,1.8062511602e-4,0.0110259819616
6.275000000000000,1.8206571994e-4,0.0110700653594,0.9998034892353,-0.016443924305,0.9998034892353,-0.016443924305,1.8207269925e-4,0.0110700652446
6.300000000000001,1.8351902324e-4,0.0111141484184,0.9998019205452,-0.016509418578,0.9998019205452,-0.016509418578,1.8352605807e-4,0.0111141483022
6.325000000000000,1.8497810189e-4,0.0111582312513,0.9998003456217,-0.016574912619,0.9998003456217,-0.016574912619,1.8498519246e-4,0.0111582311338
6.350000000000001,1.8644295585e-4,0.0112023138577,0.9997987644649,-0.016640406428,0.9997987644649,-0.016640406428,1.8645010238e-4,0.0112023137388
6.375000000000000,1.8791358509e-4,0.0112463962370,0.9997971770748,-0.016705900004,0.9997971770748,-0.016705900004,1.8792078780e-4,0.0112463961166
6.400000000000000,1.8938998960e-4,0.0112904783885,0.9997955834515,-0.016771393345,0.9997955834515,-0.016771393345,1.8939724870e-4,0.0112904782668
6.425000000000001,1.9087216932e-4,0.0113345603118,0.9997939835950,-0.016836886452,0.9997939835950,-0.016836886452,1.9087948504e-4,0.0113345601886
6.450000000000000,1.9236012425e-4,0.0113786420062,0.9997923775053,-0.016902379323,0.9997923775053,-0.016902379323,1.9236749680e-4,0.0113786418816
6.475000000000001,1.9385385434e-4,0.0114227234712,0.9997907651826,-0.016967871957,0.9997907651826,-0.016967871957,1.9386128394e-4,0.0114227233451
6.500000000000000,1.9535335956e-4,0.0114668047062,0.9997891466268,-0.017033364354,0.9997891466268,-0.017033364354,1.9536084644e-4,0.0114668045787
6.525000000000000,1.9685863989e-4,0.0115108857106,0.9997875218380,-0.017098856513,0.9997875218380,-0.017098856513,1.9686618427e-4,0.0115108855816
6.550000000000001,1.9836969530e-4,0.0115549664840,0.9997858908162,-0.017164348432,0.9997858908162,-0.017164348432,1.9837729738e-4,0.0115549663535
6.575000000000000,1.9988652575e-4,0.0115990470257,0.9997842535615,-0.017229840112,0.9997842535615,-0.017229840112,1.9989418576e-4,0.0115990468937
6.600000000000001,2.0140913121e-4,0.0116431273351,0.9997826100739,-0.017295331551,0.9997826100739,-0.017295331551,2.0141684938e-4,0.0116431272016
6.625000000000000,2.0293751165e-4,0.0116872074117,0.9997809603536,-0.017360822749,0.9997809603536,-0.017360822749,2.0294528819e-4,0.0116872072767
6.650000000000000,2.0447166705e-4,0.0117312872549,0.9997793044004,-0.017426313704,0.9997793044004,-0.017426313704,2.0447950218e-4,0.0117312871184
6.675000000000001,2.0601159737e-4,0.0117753668641,0.9997776422145,-0.017491804416,0.9997776422145,-0.017491804416,2.0601949130e-4,0.0117753667261
6.700000000000000,2.0755730257e-4,0.0118194462389,0.9997759737959,-0.017557294884,0.9997759737959,-0.017557294884,2.0756525553e-4,0.0118194460993
6.725000000000001,2.0910878263e-4,0.0118635253785,0.9997742991447,-0.017622785107,0.9997742991447,-0.017622785107,2.0911679484e-4,0.0118635252374
6.750000000000000,2.1066603752e-4,0.0119076042825,0.9997726182609,-0.017688275085,0.9997726182609,-0.017688275085,2.1067410919e-4,0.0119076041398
6.775000000000000,2.1222906720e-4,0.0119516829503,0.9997709311445,-0.017753764816,0.9997709311445,-0.017753764816,2.1223719856e-4,0.0119516828060
6.800000000000001,2.1379787164e-4,0.0119957613813,0.9997692377957,-0.017819254300,0.9997692377957,-0.017819254300,2.1380606291e-4,0.0119957612354
6.825000000000000,2.1537245082e-4,0.0120398395750,0.9997675382144,-0.017884743536,0.9997675382144,-0.017884743536,2.1538070220e-4,0.0120398394274
6.850000000000001,2.1695280469e-4,0.0120839175307,0.9997658324006,-0.017950232522,0.9997658324006,-0.017950232522,2.1696111641e-4,0.0120839173815
6.875000000000000,2.1853893322e-4,0.0121279952479,0.9997641203546,-0.018015721259,0.9997641203546,-0.018015721259,2.1854730551e-4,0.0121279950971
6.900000000000000,2.2013083639e-4,0.0121720727261,0.9997624020762,-0.018081209746,0.9997624020762,-0.018081209746,2.2013926945e-4,0.0121720725736
6.925000000000001,2.2172851415e-4,0.0122161499646,0.9997606775655,-0.018146697980,0.9997606775655,-0.018146697980,2.2173700822e-4,0.0122161498105
6.950000000000000,2.2333196648e-4,0.0122602269630,0.9997589468226,-0.018212185963,0.9997589468226,-0.018212185963,2.2334052177e-4,0.0122602268072
6.975000000000001,2.2494119335e-4,0.0123043037206,0.9997572098476,-0.018277673693,0.9997572098476,-0.018277673693,2.2494981007e-4,0.0123043035631
7.000000000000000,2.2655619472e-4,0.0123483802369,0.9997554666404,-0.018343161168,0.9997554666404,-0.018343161168,2.2656487309e-4,0.0123483800777
7.025000000000000,2.2817697055e-4,0.0123924565113,0.9997537172011,-0.018408648389,0.9997537172011,-0.018408648389,2.2818571080e-4,0.0123924563504
